question,1,2,3,4,prompt
"Mu jer de 36 años con antecedentes de 2 abortos de primer trimestre y preeclampsia grave que requirió cesárea por pérdida de bienestar fetal a las 33 semanas de gestación. El estudio analítico postparto es normal salvo por la presencia de anticuerpos antifosfolípido I gM e I gG, siendo el resto del estudio de trombofilia normal. La pre-sencia de anticuerpos antifosfolípido fue confir-mada a los 4 meses de la primera analítica. ¿Qué recomendación haríamos a esta paciente en caso de nueva gestación?: ",Aspirina y heparina de bajo peso molecular a dosis profilácticas.,Vitaminas antioxidantes a dosis altas.,Intentar la gestación mediante diagnóstico genético preimplantacional.,Tratamiento según cribado de preeclampsia de primer trimestre con aspirina a dosis bajas si alto riesgo. ,"Mu jer de 36 años con antecedentes de 2 abortos de primer trimestre y preeclampsia grave que requirió cesárea por pérdida de bienestar fetal a las 33 semanas de gestación. El estudio analítico postparto es normal salvo por la presencia de anticuerpos antifosfolípido I gM e I gG, siendo el resto del estudio de trombofilia normal. La pre-sencia de anticuerpos antifosfolípido fue confir-mada a los 4 meses de la primera analítica. ¿Qué recomendación haríamos a esta paciente en caso de nueva gestación?: 
1) Aspirina y heparina de bajo peso molecular a dosis profilácticas.
2) Vitaminas antioxidantes a dosis altas.
3) Intentar la gestación mediante diagnóstico genético preimplantacional.
4) Tratamiento según cribado de preeclampsia de primer trimestre con aspirina a dosis bajas si alto riesgo. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Mu jer de 54 años nuli gesta que consulta por pérdidas de orina tras la percepción de ur gencia miccional y por sensación de necesidad de orinar en la noche 3-4 veces. En la exploración gineco-lógica se evidencia un cistocele de primer grado y una atrofia va ginal moderada. ¿Cuáles serían las medidas iniciales a realizar?: ,Corrección quirúrgi ca del cistocele.,Realización de diario miccional y reeducación vesical.,Indicación de flujometrí a y evaluación de la función uretral.,Prescripción de tratamiento oral con fármacos colinérgicos. ,"Mu jer de 54 años nuli gesta que consulta por pérdidas de orina tras la percepción de ur gencia miccional y por sensación de necesidad de orinar en la noche 3-4 veces. En la exploración gineco-lógica se evidencia un cistocele de primer grado y una atrofia va ginal moderada. ¿Cuáles serían las medidas iniciales a realizar?: 
1) Corrección quirúrgi ca del cistocele.
2) Realización de diario miccional y reeducación vesical.
3) Indicación de flujometrí a y evaluación de la función uretral.
4) Prescripción de tratamiento oral con fármacos colinérgicos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Primi gesta de 29 años sin antecedentes de interés remitida a las 36,5 semanas de gestación por sospecha ecográfica de restricción de crecimien-to. En la consulta presenta tensión arterial 125/75 mmHg y e n  l a  e c o grafía obstétrica se objetiva un peso fetal estimado compatible con un percentil 6 para la edad gestacional y un índi-ce de pulsatilidad Doppler de arteria umbilical por encima del percentil 95. ¿Qué recomenda-ción haría en esta situación?: ",Finalización de la gestación de forma inmedia-ta mediante una cesárea.,Controles semanales con monitorización fetal y ecografía obstétrica cada dos semanas hasta el inicio espontáneo del parto.,Controles semanales con monitorización fetal y ecografía obstétrica cada dos semanas hasta las 40 semanas de gestación.,Inducción del parto a partir de las 37 semanas de gestación.,"Primi gesta de 29 años sin antecedentes de interés remitida a las 36,5 semanas de gestación por sospecha ecográfica de restricción de crecimien-to. En la consulta presenta tensión arterial 125/75 mmHg y e n  l a  e c o grafía obstétrica se objetiva un peso fetal estimado compatible con un percentil 6 para la edad gestacional y un índi-ce de pulsatilidad Doppler de arteria umbilical por encima del percentil 95. ¿Qué recomenda-ción haría en esta situación?: 
1) Finalización de la gestación de forma inmedia-ta mediante una cesárea.
2) Controles semanales con monitorización fetal y ecografía obstétrica cada dos semanas hasta el inicio espontáneo del parto.
3) Controles semanales con monitorización fetal y ecografía obstétrica cada dos semanas hasta las 40 semanas de gestación.
4) Inducción del parto a partir de las 37 semanas de gestación.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Mujer de 35 años que consulta por amenorrea de 6 meses de evolución. En la anamnesis le dice que últimamente le cuesta dormir y se despierta por la noche con mucho calor. Menarquia a los 12 años. Tiene 2 hi jas (partos eutócicos) y d e s e o  genésico cumplido. Su madre tuvo la menopausia a los 41 años. La analítica de sangre muestra FSH 65,1 U/L (2-13,8), LH 12 U/L (2-13,8), es-tradiol < 0,05 pg/mL (fase folicular: 30-100; fase lútea: 50-150; pico ovulatorio: 100-400). Dos meses más tarde le repite la analítica con valores similares. ¿Cuál es el dia gnóstico de sospecha y la actitud a seguir?: ","Probablemente está menopáusica, pero hasta que no se cumplan los 12 meses de amenorrea no podrá iniciar ningún tratamiento.",Insuficiencia ovárica prematura. Inicia estudio con cariotipo e indica terapia hormonal sustitu-tiva.,"Insuficiencia ovárica prematura. Le explica que son esenciales los hábitos de vida saluda-bles: no fumar, ejercicio y adecuada ingesta de vitamina D. La terapia hormonal la deja como tratamiento de segunda línea.",Amenorrea hipotalámica.  P r e c i s a  e s t u d i o  c o n  una RM craneal.,"Mujer de 35 años que consulta por amenorrea de 6 meses de evolución. En la anamnesis le dice que últimamente le cuesta dormir y se despierta por la noche con mucho calor. Menarquia a los 12 años. Tiene 2 hi jas (partos eutócicos) y d e s e o  genésico cumplido. Su madre tuvo la menopausia a los 41 años. La analítica de sangre muestra FSH 65,1 U/L (2-13,8), LH 12 U/L (2-13,8), es-tradiol < 0,05 pg/mL (fase folicular: 30-100; fase lútea: 50-150; pico ovulatorio: 100-400). Dos meses más tarde le repite la analítica con valores similares. ¿Cuál es el dia gnóstico de sospecha y la actitud a seguir?: 
1) Probablemente está menopáusica, pero hasta que no se cumplan los 12 meses de amenorrea no podrá iniciar ningún tratamiento.
2) Insuficiencia ovárica prematura. Inicia estudio con cariotipo e indica terapia hormonal sustitu-tiva.
3) Insuficiencia ovárica prematura. Le explica que son esenciales los hábitos de vida saluda-bles: no fumar, ejercicio y adecuada ingesta de vitamina D. La terapia hormonal la deja como tratamiento de segunda línea.
4) Amenorrea hipotalámica.  P r e c i s a  e s t u d i o  c o n  una RM craneal.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
¿Cuál de las siguientes vacunas NO debe admi-nistrarse a un lactante de 9 meses que tiene una inmunodeficiencia primaria combinada?: ,Vacuna antineumocócica conjugada 13-valente.,Vacuna antigripal.,Vacuna frente al rotavirus.,Vacuna antimeningocócica tipo B.,"¿Cuál de las siguientes vacunas NO debe admi-nistrarse a un lactante de 9 meses que tiene una inmunodeficiencia primaria combinada?: 
1) Vacuna antineumocócica conjugada 13-valente.
2) Vacuna antigripal.
3) Vacuna frente al rotavirus.
4) Vacuna antimeningocócica tipo B.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 19 meses, correctamente vacunado para su edad. Previamente bien, inicia de forma brusca un cuadro clínico con fiebre alta de hasta 40 ºC sin otra sintomatolo gía, salvo irritabilidad. La exploración al día si guiente es normal, salvo por ligera hiperemia de mucosa oral y membra-na timpánica, y microadenopatías laterocervica-les. Al cuarto día desaparece totalmente la fiebre y aparece un exantema eri tematoso morbilifor-me, maculopapuloso de distribución en cara, tronco y extremidades. De los si guientes, ¿cuál es el diagnóstico más probable?: ",Eritema infeccioso o quinta enfermedad.,Sarampión o primera enfermedad.,"Roséola, exantema súbito o sexta enfermedad.",Escarlatina o seg unda enfermedad. ,"Varón de 19 meses, correctamente vacunado para su edad. Previamente bien, inicia de forma brusca un cuadro clínico con fiebre alta de hasta 40 ºC sin otra sintomatolo gía, salvo irritabilidad. La exploración al día si guiente es normal, salvo por ligera hiperemia de mucosa oral y membra-na timpánica, y microadenopatías laterocervica-les. Al cuarto día desaparece totalmente la fiebre y aparece un exantema eri tematoso morbilifor-me, maculopapuloso de distribución en cara, tronco y extremidades. De los si guientes, ¿cuál es el diagnóstico más probable?: 
1) Eritema infeccioso o quinta enfermedad.
2) Sarampión o primera enfermedad.
3) Roséola, exantema súbito o sexta enfermedad.
4) Escarlatina o seg unda enfermedad. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Lactante de 14 meses que acude a ur gencias por un cuadro de irritabilidad en las últimas 12 ho-ras y heces sanguinolentas con moco. En la ex-ploración destacan episodios de llanto, con fle-xión de las extremidades inferiores. En la palpa-ción abdominal se objetiva una masa cilíndrica mal definida, incrementándos e el llanto del niño cuando se presiona en la parte derecha del ab-domen. ¿Cuál es su dia gnóstico de sospecha y que prueba realizaría  para confirmarlo?: ",Apendicitis aguda. Ecografía abdominal.,Invaginación intestinal. Ecografía abdominal.,Apendicitis aguda. TC abdominal.,Invaginación intestinal. TC abdominal. ,"Lactante de 14 meses que acude a ur gencias por un cuadro de irritabilidad en las últimas 12 ho-ras y heces sanguinolentas con moco. En la ex-ploración destacan episodios de llanto, con fle-xión de las extremidades inferiores. En la palpa-ción abdominal se objetiva una masa cilíndrica mal definida, incrementándos e el llanto del niño cuando se presiona en la parte derecha del ab-domen. ¿Cuál es su dia gnóstico de sospecha y que prueba realizaría  para confirmarlo?: 
1) Apendicitis aguda. Ecografía abdominal.
2) Invaginación intestinal. Ecografía abdominal.
3) Apendicitis aguda. TC abdominal.
4) Invaginación intestinal. TC abdominal. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Respecto a la gastroenteritis a guda (GEA) en pediatría, señale la a firmación INCORRECTA: ",Los rotavirus son una causa infrecuente de GEA en los niños a nivel mundial.,"Los principales patógenos bacterianos que causan GEA son Salmonella  no tifoidea, Shi-gella , Campylobacter  y Yersinia .",La enfermedad por Clostridioides difficilepuede ser tanto nosocomial como adquirida en la comunidad en los niños.,"Entre los patógenos bacterianos que causan enfermedades vehiculadas por alimentos se in-cluyen Bacillus cereus , Clostridium perfrin-gens y Staphylococcus aureus. ","Respecto a la gastroenteritis a guda (GEA) en pediatría, señale la a firmación INCORRECTA: 
1) Los rotavirus son una causa infrecuente de GEA en los niños a nivel mundial.
2) Los principales patógenos bacterianos que causan GEA son Salmonella  no tifoidea, Shi-gella , Campylobacter  y Yersinia .
3) La enfermedad por Clostridioides difficilepuede ser tanto nosocomial como adquirida en la comunidad en los niños.
4) Entre los patógenos bacterianos que causan enfermedades vehiculadas por alimentos se in-cluyen Bacillus cereus , Clostridium perfrin-gens y Staphylococcus aureus. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Entre las características clínicas siguientes rela-tivas a la anorexia nerviosa , señale la afirmación correcta: ",Una forma clínica se asocia a atracones y con-ductas purgativas.,Se distribuye por igua l entre ambos sexos.,La amenorrea es un criterio diagnóstico nece-sario de enfermedad en mujeres.,"Hay deseo de perder peso, pero con una per-cepción normal de la propia constitución. ","Entre las características clínicas siguientes rela-tivas a la anorexia nerviosa , señale la afirmación correcta: 
1) Una forma clínica se asocia a atracones y con-ductas purgativas.
2) Se distribuye por igua l entre ambos sexos.
3) La amenorrea es un criterio diagnóstico nece-sario de enfermedad en mujeres.
4) Hay deseo de perder peso, pero con una per-cepción normal de la propia constitución. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con la estenosis hipertrófica de pílo-ro, señale la afirma ción INCORRECTA: ",Afecta predominantemente a primogénitos varones.,Se ha encontrado mayor incidencia en hijas de madres tratadas con macrólidos durante el em-barazo.,La alteración hidroelectrolítica típica es una acidosis metabólica hipoclorémica.,El tratamiento de elección es la piloromioto-mía extramucosa de Ramstedt.,"En relación con la estenosis hipertrófica de pílo-ro, señale la afirma ción INCORRECTA: 
1) Afecta predominantemente a primogénitos varones.
2) Se ha encontrado mayor incidencia en hijas de madres tratadas con macrólidos durante el em-barazo.
3) La alteración hidroelectrolítica típica es una acidosis metabólica hipoclorémica.
4) El tratamiento de elección es la piloromioto-mía extramucosa de Ramstedt.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Para el dia gnóstico de enfermedad de Kawasaki clásica es necesaria la presencia de fiebre al me-nos cinco días y 4 de los principales si gnos de la enfermedad. De los si guientes, señale cuál NO SE CONSIDERA un signo principal: ",Eritema de las mucosas faríngea y oral con lengua en fresa y/o labios agrietados.,Exantema polimorfo.,"Linfadenopatía cervical (> 1,5 cm de diámetro) generalmente unilateral.",Inyección conjuntival e xudativa bilateral.,"Para el dia gnóstico de enfermedad de Kawasaki clásica es necesaria la presencia de fiebre al me-nos cinco días y 4 de los principales si gnos de la enfermedad. De los si guientes, señale cuál NO SE CONSIDERA un signo principal: 
1) Eritema de las mucosas faríngea y oral con lengua en fresa y/o labios agrietados.
2) Exantema polimorfo.
3) Linfadenopatía cervical (> 1,5 cm de diámetro) generalmente unilateral.
4) Inyección conjuntival e xudativa bilateral.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con las vacunas y los calendarios de vacunación en las comunidades autónomas espa-ñolas, señale la afi rmación INCORRECTA: ",Las vacunas sistemáticas son aquellas que se administran de forma obligatoria a todos los niños según el calendario vacunal vigente en su comunidad autónoma.,Las vacunas no sistemáticas son aquellas que no se administran de forma universal en todas las comunidades autónomas.,El calendario vacunal se define como la se-cuencia cronológica de vacunas que se admi-nistra sistemáticamente en un país o área geo-gráfica determinada.,Los calendarios vacunales deben actualizarse de forma permanente según el desarrollo de nuevas vacunas o el cambio de incidencia de enfermedades en un área geográfica determi-nada.,"En relación con las vacunas y los calendarios de vacunación en las comunidades autónomas espa-ñolas, señale la afi rmación INCORRECTA: 
1) Las vacunas sistemáticas son aquellas que se administran de forma obligatoria a todos los niños según el calendario vacunal vigente en su comunidad autónoma.
2) Las vacunas no sistemáticas son aquellas que no se administran de forma universal en todas las comunidades autónomas.
3) El calendario vacunal se define como la se-cuencia cronológica de vacunas que se admi-nistra sistemáticamente en un país o área geo-gráfica determinada.
4) Los calendarios vacunales deben actualizarse de forma permanente según el desarrollo de nuevas vacunas o el cambio de incidencia de enfermedades en un área geográfica determi-nada.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Paciente de 7 años ingresado desde hace varios d í a s  c o n  d i a gnóstico de neumonía, tratado con antibióticos. Mantiene picos febriles por lo que se realiza una ecografía torácica en donde se obser-va derrame pleural con múltiples tabiques. Se hace una toracocentesis diagnóstica extra yéndose material purulento. ¿Qué se debe hacer a conti-nuación?: ",Drenaje cerrado con un tubo de tórax con insti-lación de fibrinolíticos.,Toracocentesis repetidas para extraer todo el derrame posible.,Decorticación quirúrgica.,Ampliación de la cobertura antibiótica. ,"Paciente de 7 años ingresado desde hace varios d í a s  c o n  d i a gnóstico de neumonía, tratado con antibióticos. Mantiene picos febriles por lo que se realiza una ecografía torácica en donde se obser-va derrame pleural con múltiples tabiques. Se hace una toracocentesis diagnóstica extra yéndose material purulento. ¿Qué se debe hacer a conti-nuación?: 
1) Drenaje cerrado con un tubo de tórax con insti-lación de fibrinolíticos.
2) Toracocentesis repetidas para extraer todo el derrame posible.
3) Decorticación quirúrgica.
4) Ampliación de la cobertura antibiótica. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Mujer de 13 años que acude a consulta por fie-bre alta de 5 días de evolución, odinofagia, cefa-lea, dolor abdominal y astenia intensa que inter-fiere en su vida cotidiana. En la exploración se aprecian amígdalas rojas con membrana exuda-tiva, maloliente. Se palp an adenopatías cervica-les anteriores, posteriores , occipitales y epitro-cleares. En el abdomen se palpa hígado a 1 cm y bazo a 3 cm del reborde costal. Ante esta clínica y exploración ¿qué estudi o serológico pediría?: ",Sarampión.,Rubeola.,Epstein-Barr.,Parvovirus B 19. ,"Mujer de 13 años que acude a consulta por fie-bre alta de 5 días de evolución, odinofagia, cefa-lea, dolor abdominal y astenia intensa que inter-fiere en su vida cotidiana. En la exploración se aprecian amígdalas rojas con membrana exuda-tiva, maloliente. Se palp an adenopatías cervica-les anteriores, posteriores , occipitales y epitro-cleares. En el abdomen se palpa hígado a 1 cm y bazo a 3 cm del reborde costal. Ante esta clínica y exploración ¿qué estudi o serológico pediría?: 
1) Sarampión.
2) Rubeola.
3) Epstein-Barr.
4) Parvovirus B 19. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Indique que fármaco NO está indicado en el tratamiento de mantenimiento del trastorno bipolar: ,Litio.,Valproato.,Carbamazepina.,Clorazepato. ,"Indique que fármaco NO está indicado en el tratamiento de mantenimiento del trastorno bipolar: 
1) Litio.
2) Valproato.
3) Carbamazepina.
4) Clorazepato. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Varón de 26 años que ha presentado un primer episodio depresivo con remisión completa de la sintomatología con un primer antidepresivo en monoterapia. ¿Cuánto tiempo se recomienda mantener el tratamiento?: ,En un primer episodio en pacientes jóvenes con buena respuesta se puede suspender el tra-tamiento al cabo de un mes.,Se recomienda mantener el tratamiento durante un mínimo de tres meses tras la remisión.,Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión.,Se recomienda mantener el tratamiento durante un mínimo de dos  años para prevenir recaídas. ,"Varón de 26 años que ha presentado un primer episodio depresivo con remisión completa de la sintomatología con un primer antidepresivo en monoterapia. ¿Cuánto tiempo se recomienda mantener el tratamiento?: 
1) En un primer episodio en pacientes jóvenes con buena respuesta se puede suspender el tra-tamiento al cabo de un mes.
2) Se recomienda mantener el tratamiento durante un mínimo de tres meses tras la remisión.
3) Se recomienda mantener el tratamiento durante un mínimo de seis meses tras la remisión.
4) Se recomienda mantener el tratamiento durante un mínimo de dos  años para prevenir recaídas. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 71 años sin antecedentes psiquiátricos que presenta un cuadro de tres semanas de evo-lución caracterizado por déficit de memoria, inatención, insomnio, pérd ida de peso, inquietud, angustia de predominio m atutino e ideas deliran-tes de culpa y p e r juicio. De los si guientes, el diagnóstico más probable es: ",Catalepsia.,Esquizofrenia de inicio tardío.,Enfermedad de Alzheimer.,E pi s o di o  d e p r e s i vo  g ra v e  c o n s í nt om a s  ps i c ó-ticos. ,"Varón de 71 años sin antecedentes psiquiátricos que presenta un cuadro de tres semanas de evo-lución caracterizado por déficit de memoria, inatención, insomnio, pérd ida de peso, inquietud, angustia de predominio m atutino e ideas deliran-tes de culpa y p e r juicio. De los si guientes, el diagnóstico más probable es: 
1) Catalepsia.
2) Esquizofrenia de inicio tardío.
3) Enfermedad de Alzheimer.
4) E pi s o di o  d e p r e s i vo  g ra v e  c o n s í nt om a s  ps i c ó-ticos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"La depresión mayor, especialmente si tiene ca-rácter endógeno/melancólico, se caracteriza por una de las siguientes alteraciones: ",Incremento del apetito.,Disminución de la secreción de cortisol.,Dificultad para despertarse por la mañana.,Empeoramiento matutino.,"La depresión mayor, especialmente si tiene ca-rácter endógeno/melancólico, se caracteriza por una de las siguientes alteraciones: 
1) Incremento del apetito.
2) Disminución de la secreción de cortisol.
3) Dificultad para despertarse por la mañana.
4) Empeoramiento matutino.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Indique cuál de los siguientes trastornos NO es un trastorno de ansiedad según el DSM-5: ,Trastorno obsesivo-compulsivo.,Mutismo selectivo.,Fobia situacional.,Trastorno de pánico.,"Indique cuál de los siguientes trastornos NO es un trastorno de ansiedad según el DSM-5: 
1) Trastorno obsesivo-compulsivo.
2) Mutismo selectivo.
3) Fobia situacional.
4) Trastorno de pánico.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En psicogeriatría, cuando es preciso el uso de benzodiacepinas ¿cuál es de elección?: ",Clorazepato.,Lorazepam.,Diazepam.,Las benzodiacepinas est án contraindicadas.,"En psicogeriatría, cuando es preciso el uso de benzodiacepinas ¿cuál es de elección?: 
1) Clorazepato.
2) Lorazepam.
3) Diazepam.
4) Las benzodiacepinas est án contraindicadas.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con los efectos secundarios de los antipsicóticos, señale la afirmación INCO-RRECTA: ",La aparición de síndrome metabólico es más frecuente con el uso de antipsicóticos típicos.,"La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, más pro-nunciado al inicio del tratamiento.","L a  d i s c i n e s i a  t a r d í a  e s  u n  t r a s t o r n o  d e l  m o v i -miento involuntario que afecta con mayor fre-cuencia a la región orofacial, aparece tras la administración prolongada de antipsicóticos y puede ser irreversible.",La acatisia es un efecto extrapiramidal para cuyo tratamiento puede estar indicada la adi-ción de benzodiazepinas o el uso de betablo-queantes.,"En relación con los efectos secundarios de los antipsicóticos, señale la afirmación INCO-RRECTA: 
1) La aparición de síndrome metabólico es más frecuente con el uso de antipsicóticos típicos.
2) La sedación es un efecto secundario frecuente con la mayoría de los antipsicóticos, más pro-nunciado al inicio del tratamiento.
3) L a  d i s c i n e s i a  t a r d í a  e s  u n  t r a s t o r n o  d e l  m o v i -miento involuntario que afecta con mayor fre-cuencia a la región orofacial, aparece tras la administración prolongada de antipsicóticos y puede ser irreversible.
4) La acatisia es un efecto extrapiramidal para cuyo tratamiento puede estar indicada la adi-ción de benzodiazepinas o el uso de betablo-queantes.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Acerca de la terapia combinada con psicofárma-cos y psicoterapia de los trastornos mentales, es cierto que: ",Está indicada únicamente cuando han fracasa-do ambas formas de tratamiento por separado.,El alivio rápido de los síntomas de ansiedad gracias a la medicación disminuye la motiva-ción para la psicoterapia.,Exige que un mismo profesional lleve a cabo las dos modalidades de tratamiento.,Los resultados de la terapia combinada son superiores a los de cada una utilizada por sepa-rado. ,"Acerca de la terapia combinada con psicofárma-cos y psicoterapia de los trastornos mentales, es cierto que: 
1) Está indicada únicamente cuando han fracasa-do ambas formas de tratamiento por separado.
2) El alivio rápido de los síntomas de ansiedad gracias a la medicación disminuye la motiva-ción para la psicoterapia.
3) Exige que un mismo profesional lleve a cabo las dos modalidades de tratamiento.
4) Los resultados de la terapia combinada son superiores a los de cada una utilizada por sepa-rado. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Dentro de los síndro mes parkinsonianos prima-rios, la enfermedad de Parkinson se produce por: ","Una degeneración neuronal que afecta espe-cialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopami-na.","Una degeneración de los núcleos de la protube-rancia, oliva inferior y el cerebelo.","Una degeneración celular en la sustancia negra que disminuye la tasa de dopamina a nivel del estriado, lo que provoca una actividad subta-lámica y palidal excesiva.",Una degeneración neuronal progresiva a nivel cortical y de los ganglios basales. ,"Dentro de los síndro mes parkinsonianos prima-rios, la enfermedad de Parkinson se produce por: 
1) Una degeneración neuronal que afecta espe-cialmente al globo pálido, sustancia reticular y oliva inferior y produce un déficit de dopami-na.
2) Una degeneración de los núcleos de la protube-rancia, oliva inferior y el cerebelo.
3) Una degeneración celular en la sustancia negra que disminuye la tasa de dopamina a nivel del estriado, lo que provoca una actividad subta-lámica y palidal excesiva.
4) Una degeneración neuronal progresiva a nivel cortical y de los ganglios basales. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Respecto a la exploración neurológica de una lesión en la vía córtico-espinal, señale la afirma-ción INCORRECTA: ",Se encuentra debilidad global en todos los grupos musculares de los miembros afectados.,El reflejo de Babinski está presente.,Presenta hipertonía tipo rigidez.,Existe hiperreflexia en los reflejos osteotendi-nosos rotulianos. ,"Respecto a la exploración neurológica de una lesión en la vía córtico-espinal, señale la afirma-ción INCORRECTA: 
1) Se encuentra debilidad global en todos los grupos musculares de los miembros afectados.
2) El reflejo de Babinski está presente.
3) Presenta hipertonía tipo rigidez.
4) Existe hiperreflexia en los reflejos osteotendi-nosos rotulianos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Varón de 52 años, diabético, que consulta por pie caído derecho indoloro. En la exploración ha y debilidad del músculo tibial anterior y peroneos derechos, con reflejo rotuliano y aquíleos preser-vados. ¿Cuál es el diagnóstico más probable?: ",Radiculopatía S1 derecha.,Mononeuropatía del ciático poplíteo externo derecho.,Radiculopatía L5 derecha.,Amiotrofia diabética. ,"Varón de 52 años, diabético, que consulta por pie caído derecho indoloro. En la exploración ha y debilidad del músculo tibial anterior y peroneos derechos, con reflejo rotuliano y aquíleos preser-vados. ¿Cuál es el diagnóstico más probable?: 
1) Radiculopatía S1 derecha.
2) Mononeuropatía del ciático poplíteo externo derecho.
3) Radiculopatía L5 derecha.
4) Amiotrofia diabética. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En un paciente con un síndrome parkinsoniano de dos años de evolución, señale cuál de las si-guientes manifestaciones clínicas le harían dudar de un diagnóstico de enfermedad de Parkinson: ",Disartria grave.,Ausencia de temblor.,Presencia de un trastorno de conducta del sue-ño REM.,Estreñimiento.,"En un paciente con un síndrome parkinsoniano de dos años de evolución, señale cuál de las si-guientes manifestaciones clínicas le harían dudar de un diagnóstico de enfermedad de Parkinson: 
1) Disartria grave.
2) Ausencia de temblor.
3) Presencia de un trastorno de conducta del sue-ño REM.
4) Estreñimiento.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Un estudiante de 19 años sufre una primera crisis tónico-clónica generalizada mientras esta-ba tumbado en el sofá. La exploración neurológi-ca es normal. En la anamnesis dirigida nos dice que esos días había dormido menos horas porque estaba de exámenes y que a veces, por las maña-nas, tiene sacudidas en los brazos al coger la taza del desa yuno. Su electroencefalo grama muestra descargas de puntas y polipunta-onda generali-zadas. Señale la res puesta INCORRECTA: ",Probablemente la RM craneal sea normal.,No iniciaría tratamiento por ser una primera crisis.,El diagnóstico más probable es una epilepsia mioclónica juvenil.,Iniciaría tratamiento con valproato.,"Un estudiante de 19 años sufre una primera crisis tónico-clónica generalizada mientras esta-ba tumbado en el sofá. La exploración neurológi-ca es normal. En la anamnesis dirigida nos dice que esos días había dormido menos horas porque estaba de exámenes y que a veces, por las maña-nas, tiene sacudidas en los brazos al coger la taza del desa yuno. Su electroencefalo grama muestra descargas de puntas y polipunta-onda generali-zadas. Señale la res puesta INCORRECTA: 
1) Probablemente la RM craneal sea normal.
2) No iniciaría tratamiento por ser una primera crisis.
3) El diagnóstico más probable es una epilepsia mioclónica juvenil.
4) Iniciaría tratamiento con valproato.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
